,0
lugar_residencia,lugar_residencia
dedicacion,dedicacion
tipo_de_contrato,tipo_de_contrato
posicion,posicion
anos_de_experiencia,anos_de_experiencia
lenguajes,lenguajes
bases_de_datos,bases_de_datos
maximo_nivel_de_estudios,maximo_nivel_de_estudios
seniority,seniority
salario,salario
lenguajes_array,lenguajes_array
html,html
javascript,javascript
php,php
typescript,typescript
c#,c#
python,python
r,r
scala,scala
sql,sql
css,css
.net,.net
java,java
deluge,deluge
vba,vba
ninguno de los anteriores,ninguno de los anteriores
bash/shell,bash/shell
c,c
c++,c++
rust,rust
gdscript,gdscript
go,go
tailwind,tailwind
groovy,groovy
ruby,ruby
liquid,liquid
kotlin,kotlin
apex,apex
dart,dart
objective-c,objective-c
swift,swift
solidity,solidity
abap,abap
clojure,clojure
pinescript,pinescript
alteryx,alteryx
mulesoft,mulesoft
perl,perl
pixi js,pixi js
sway,sway
assembler,assembler
smalltalk,smalltalk
cobol,cobol
android,android
matlab,matlab
verse,verse
delphi,delphi
elixir,elixir
google apps script,google apps script
power fx ,power fx 
genexus,genexus
jbase,jbase
react native,react native
arduino,arduino
julia,julia
visualforce,visualforce
salesforce,salesforce
bash,bash
terraform,terraform
relacionados a salesforce: apex,relacionados a salesforce: apex
saql,saql
erlang,erlang
shopify,shopify
nestjs,nestjs
gwt,gwt
una poronga,una poronga
web components,web components
rpg,rpg
rpgle,rpgle
sqlrpgele,sqlrpgele
dbt,dbt
plsql,plsql
spark,spark
vb6,vb6
powershell,powershell
pl/sql,pl/sql
tal,tal
sap pi po is,sap pi po is
ln4,ln4
visual fox pro,visual fox pro
regex,regex
bpm,bpm
gosu,gosu
asp classic,asp classic
edi,edi
microsoft excel,microsoft excel
ansible,ansible
advpl,advpl
vb asp,vb asp
visual foxpro,visual foxpro
openedge abl,openedge abl
jde,jde
qlik,qlik
db2,db2
genexus 8 ,genexus 8 
oracle,oracle
0,0
soql ,soql 
 vb6, vb6
4gl,4gl
powerbuilder,powerbuilder
xquery,xquery
xpath,xpath
pyspark,pyspark
xml,xml
no trabajo con lenguajes sino que realizo diseño de arquitecturas a alto nivel,no trabajo con lenguajes sino que realizo diseño de arquitecturas a alto nivel
no hago programacion,no hago programacion
yul,yul
vue js,vue js
oracle forms,oracle forms
oracle reports,oracle reports
jasper reports,jasper reports
oracle ords,oracle ords
jcl,jcl
wikimedia,wikimedia
cshtml,cshtml
pl sql,pl sql
abls ,abls 
genexus ,genexus 
apex (salesforce),apex (salesforce)
rexx,rexx
ssis,ssis
actualmente me encuentro entre asignaciones,actualmente me encuentro entre asignaciones
pero mi perfil en la empresa es de java y angularts,pero mi perfil en la empresa es de java y angularts
graphql,graphql
mulesoft ,mulesoft 
iron python,iron python
sqr,sqr
vb .net  y vb .6,vb .net  y vb .6
vbscript,vbscript
blue prism,blue prism
poweshell,poweshell
classic asp,classic asp
